Iteration,Temperature,Best Fitness
1,100000000.0,35
2,99900000.0,35
3,99800100.0,35
4,99700299.9,34
5,99600599.60010001,34
6,99500999.0004999,34
7,99401498.0014994,34
8,99302096.5034979,31
9,99202794.4069944,31
10,99103591.6125874,29
11,99004488.02097481,29
12,98905483.53295384,29
13,98806578.0494209,29
14,98707771.47137147,29
15,98609063.6999001,29
16,98510454.6362002,29
17,98411944.181564,29
18,98313532.23738244,29
19,98215218.70514506,29
20,98117003.48643991,29
21,98018886.48295347,29
22,97920867.59647052,29
23,97822946.72887404,29
24,97725123.78214517,29
25,97627398.65836303,29
26,97529771.25970466,29
27,97432241.48844495,29
28,97334809.24695651,29
29,97237474.43770956,29
30,97140236.96327184,29
31,97043096.72630857,29
32,96946053.62958226,29
33,96849107.57595268,29
34,96752258.46837673,29
35,96655506.20990835,29
36,96558850.70369844,29
37,96462291.85299474,29
38,96365829.56114174,29
39,96269463.7315806,29
40,96173194.26784901,29
41,96077021.07358116,29
42,95980944.05250758,29
43,95884963.10845508,29
44,95789078.14534663,29
45,95693289.06720129,29
46,95597595.77813408,29
47,95501998.18235594,29
48,95406496.18417358,29
49,95311089.68798941,29
50,95215778.59830143,29
51,95120562.81970312,29
52,95025442.25688341,29
53,94930416.81462653,29
54,94835486.3978119,29
55,94740650.91141409,29
56,94645910.26050267,29
57,94551264.35024217,29
58,94456713.08589193,29
59,94362256.37280604,29
60,94267894.11643323,29
61,94173626.2223168,29
62,94079452.59609449,29
63,93985373.14349839,29
64,93891387.7703549,29
65,93797496.38258454,29
66,93703698.88620196,29
67,93609995.18731576,29
68,93516385.19212845,29
69,93422868.80693632,29
70,93329445.93812938,29
71,93236116.49219126,29
72,93142880.37569906,29
73,93049737.49532336,29
74,92956687.75782804,29
75,92863731.0700702,29
76,92770867.33900014,29
77,92678096.47166114,29
78,92585418.37518947,29
79,92492832.95681427,29
80,92400340.12385745,29
81,92307939.78373359,29
82,92215631.84394985,29
83,92123416.2121059,29
84,92031292.79589379,29
85,91939261.50309789,29
86,91847322.24159479,29
87,91755474.9193532,29
88,91663719.44443385,29
89,91572055.72498941,29
90,91480483.66926442,29
91,91389003.18559515,29
92,91297614.18240955,29
93,91206316.56822714,29
94,91115110.25165892,29
95,91023995.14140725,29
96,90932971.14626585,29
97,90842038.17511958,29
98,90751196.13694446,29
99,90660444.9408075,29
100,90569784.4958667,29
101,90479214.71137084,29
102,90388735.49665947,29
103,90298346.76116282,29
104,90208048.41440165,29
105,90117840.36598724,29
106,90027722.52562125,29
107,89937694.80309562,29
108,89847757.10829253,29
109,89757909.35118425,29
110,89668151.44183306,29
111,89578483.29039124,29
112,89488904.80710085,29
113,89399415.90229374,29
114,89310016.48639145,29
115,89220706.46990506,29
116,89131485.76343516,29
117,89042354.27767172,29
118,88953311.92339405,29
119,88864358.61147065,29
120,88775494.25285919,29
121,88686718.75860633,29
122,88598032.03984772,29
123,88509434.00780787,29
124,88420924.57380006,29
125,88332503.64922626,29
126,88244171.14557704,29
127,88155926.97443147,29
128,88067771.04745704,29
129,87979703.27640958,29
130,87891723.57313317,29
131,87803831.84956004,29
132,87716028.01771048,29
133,87628311.98969276,29
134,87540683.67770307,29
135,87453142.99402536,29
136,87365689.85103133,29
137,87278324.1611803,29
138,87191045.83701912,29
139,87103854.7911821,29
140,87016750.93639092,29
141,86929734.18545453,29
142,86842804.45126908,29
143,86755961.6468178,29
144,86669205.68517098,29
145,86582536.47948581,29
146,86495953.94300632,29
147,86409457.98906332,29
148,86323048.53107426,29
149,86236725.48254319,29
150,86150488.75706065,29
151,86064338.26830359,29
152,85978273.93003528,29
153,85892295.65610525,29
154,85806403.36044915,29
155,85720596.9570887,29
156,85634876.3601316,29
157,85549241.48377147,29
158,85463692.2422877,29
159,85378228.5500454,29
160,85292850.32149535,29
161,85207557.47117385,29
162,85122349.91370268,29
163,85037227.56378898,29
164,84952190.3362252,29
165,84867238.14588897,29
166,84782370.90774308,29
167,84697588.53683534,29
168,84612890.94829851,29
169,84528278.05735022,29
170,84443749.77929287,29
171,84359306.02951357,29
172,84274946.72348405,29
173,84190671.77676056,29
174,84106481.1049838,29
175,84022374.62387882,29
176,83938352.24925494,29
